#Table1
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,type,mode
1237669770838343744,32.7939276585767,-5.02431968064264,25.341,23.8097,22.7222,22.16791,22.52704,0.7031769,0.2950487,0.1780132,1.048647,0.4457664,0.08367665,0.06520028,0.04510525,0.03351803,0.02493126,6,1
1237669770838343746,32.6825510112764,-5.02090623645498,19.05654,17.56378,16.97449,16.7573,16.65485,0.02458455,0.02638267,0.01251404,0.03063166,0.03191523,0.08554611,0.06665695,0.04611297,0.03426687,0.02548826,6,1
1237669770838343773,32.6822118713181,-5.09595609351348,19.82724,17.68117,16.82224,16.52768,16.35098,0.03508651,0.02642163,0.01246142,0.03060271,0.03163904,0.08498497,0.06621972,0.04581049,0.03404211,0.02532107,6,1
1237669770838343825,32.7934783076697,-5.03923752747622,22.07377,19.15114,17.9297,17.47491,17.11484,0.1796749,0.04012765,0.01310936,0.03124505,0.03259836,0.08351474,0.06507412,0.04501798,0.03345318,0.02488302,6,1
1237669770838343967,32.6839102693705,-4.98428190010956,24.0485,24.45221,23.24121,22.17848,21.1712,0.7746711,0.4352801,0.3341976,0.2323674,0.2893724,0.08588424,0.06692041,0.04629524,0.03440232,0.02558901,6,1
1237669770838343968,32.6830480549511,-4.98591711985514,25.702,23.90719,22.42068,21.30944,20.54648,0.5645986,0.3115672,0.1256142,0.0695651,0.1397372,0.08583431,0.06688151,0.04626832,0.03438232,0.02557413,6,1
1237669770838344110,32.6822542774658,-5.06733166273827,23.57844,22.70977,22.29449,22.35544,22.38485,0.5780042,0.1193433,0.1121721,0.1582059,0.4979945,0.08564609,0.06673486,0.04616687,0.03430693,0.02551805,6,1
1237669770838344311,32.7926185954373,-4.99138286614636,25.10196,23.02786,21.61404,20.7639,20.34447,0.7922472,0.1582035,0.06368142,0.04957516,0.1197654,0.08488322,0.06614044,0.04575565,0.03400135,0.02529076,6,1
1237669770838409231,32.6829622273194,-4.92876538374847,18.52652,15.99209,14.98302,14.63786,14.50158,0.02295233,0.016294,0.01048395,0.02445933,0.02067377,0.0878059,0.06841777,0.04733109,0.03517208,0.02616156,6,1
1237669770838409805,32.7941638035144,-4.87465634068146,24.96039,21.93568,20.76227,20.18233,19.98206,0.8013703,0.06439386,0.03244802,0.03482695,0.08906242,0.09165233,0.07141487,0.04940448,0.03671283,0.0273076,6,1
1237669770838409844,32.792842176396,-4.86520576184732,22.51582,22.31786,22.23817,22.0437,22.23893,0.2555051,0.1063031,0.2097716,0.31047,0.6220479,0.09155855,0.0713418,0.04935393,0.03667526,0.02727965,6,1
1237669770838409924,32.7933652491661,-4.83917962665091,24.69711,22.9821,21.75748,20.73247,19.9229,0.8362938,0.1512982,0.07003467,0.0532066,0.08423773,0.09034737,0.07039806,0.04870105,0.0361901,0.02691879,6,1
1237669770838475085,32.7935966483245,-4.80671166951259,25.43125,22.1768,20.77424,19.47486,18.69956,0.660977,0.07804694,0.03635999,0.0189341,0.0342413,0.08849689,0.06895617,0.04770356,0.03544886,0.02636744,6,1
1237669770838540703,32.6825667749414,-4.6338896257532,23.41547,22.86353,22.32667,22.19773,21.66855,0.5465333,0.1409589,0.1112788,0.1374651,0.3392821,0.08887915,0.06925403,0.04790962,0.03560198,0.02648133,6,1
1237669770838540752,32.7927058726903,-4.6140622726662,24.57597,21.96571,20.49326,19.12235,18.37853,0.8370698,0.06700427,0.02982803,0.02261331,0.0276337,0.08568081,0.0667619,0.04618558,0.03432083,0.02552839,6,1
1237669770838540895,32.6836778566241,-4.57097743749439,24.00454,22.31692,20.60399,19.1733,18.45938,0.7872916,0.1132404,0.03471019,0.02302438,0.028885,0.08653376,0.06742651,0.04664535,0.03466249,0.02578253,6,1
1237669770838540896,32.6833038041869,-4.57210199403547,23.42125,21.78386,21.43821,21.32888,21.4831,0.5633906,0.06613807,0.1095368,0.355439,0.3544616,0.08660454,0.06748167,0.04668351,0.03469085,0.02580362,6,1
1237669770838605916,32.7934038925268,-4.4705243263736,21.94211,19.63367,18.62535,18.26524,17.99104,0.1667061,0.02504226,0.01836927,0.01973443,0.02207925,0.08277769,0.06449982,0.04462068,0.03315794,0.02466342,6,1
1237669770838605920,32.7940954473442,-4.46548814810841,21.14614,20.35917,20.27333,20.20424,19.70014,0.0898044,0.02910957,0.02683702,0.03239681,0.06799337,0.08289401,0.06459045,0.04468338,0.03320454,0.02469808,6,1
1237669770838605966,32.6832360664021,-4.41036369405604,22.59062,19.85415,18.68947,18.20197,17.96873,0.2870134,0.0259156,0.01852258,0.01972509,0.02179225,0.08690453,0.06771543,0.04684522,0.03481102,0.025893,6,1
1237669770838606610,32.7941327967623,-4.36238037038714,23.82052,22.50217,21.09441,20.066,19.51086,0.7014155,0.1026174,0.04293582,0.03053874,0.05864841,0.08743586,0.06812943,0.04713162,0.03502385,0.02605131,6,1
