#Table1
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,type,mode
1237657191443726663,3.74887264130098,0.388668718520382,21.64471,21.86181,21.85385,21.81515,20.9485,0.1407869,0.05599588,0.07475546,0.1011302,0.2015274,0.1059033,0.08251914,0.05708636,0.04242128,0.03155364,6,1
1237657191443726992,3.7809712873169,0.391204288453543,24.59254,22.17075,21.97323,21.63913,22.07826,0.7806655,0.08372904,0.196761,0.2004869,0.6818094,0.1021068,0.07956089,0.05503986,0.04090051,0.03042247,6,1
1237657191443791964,3.84362560803015,0.412281856281556,19.25317,17.6869,17.06384,16.80567,16.68755,0.03007743,0.01573235,0.0215349,0.01889167,0.01545649,0.09219916,0.07184096,0.04969924,0.03693186,0.02747052,6,1
1237657191443791965,3.84421692844899,0.414361896974218,23.50003,21.81531,20.31814,18.89643,18.16393,0.8468692,0.05266453,0.03026642,0.02126411,0.02478652,0.0921823,0.07182783,0.04969016,0.03692511,0.0274655,6,1
1237657191443792311,3.88458867011678,0.385861133369182,25.07404,22.6132,21.61125,20.65698,19.99746,0.7160879,0.09933791,0.06288052,0.0419152,0.09014313,0.09066364,0.0706445,0.04887154,0.03631679,0.02701302,6,1
1237657191443792465,3.92815017513567,0.404134370052417,25.06039,21.84582,21.15984,20.97869,20.84034,0.7200849,0.05380233,0.04592639,0.05199186,0.1857921,0.09146766,0.07127098,0.04930493,0.03663885,0.02725257,6,1
1237657191443792879,3.97233171798308,0.404532933279779,24.77971,23.74831,22.63225,22.44394,22.80035,0.7590334,0.2534071,0.1456992,0.1708929,0.572459,0.09621705,0.07497167,0.05186506,0.03854129,0.02866764,6,1
1237657191443792890,3.98376999715458,0.374260405674125,24.94829,23.47298,22.80815,23.01827,21.97572,0.7235997,0.2071882,0.1678206,0.2704747,0.4312285,0.09747169,0.07594928,0.05254136,0.03904386,0.02904146,6,1
1237657191443858076,4.0921146469866,0.375886804346352,24.09052,22.70894,21.30238,20.5494,19.83844,0.6878218,0.110852,0.0493442,0.03700612,0.07825641,0.1081366,0.08425931,0.0582902,0.04331587,0.03221904,6,1
1237657191443858201,4.13519745898179,0.388649393842684,23.95451,23.39371,22.61383,22.27438,22.84271,0.5451872,0.195646,0.1445478,0.1490256,0.566575,0.1089428,0.08488747,0.05872476,0.04363879,0.03245924,6,1
1237657191443922964,4.15915268915353,0.395032332320736,24.6344,22.27658,22.56349,20.3369,22.8269,1.201669,0.3552208,0.4157481,0.1519643,1.315899,0.1072848,0.08359555,0.05783102,0.04297464,0.03196524,6,1
1237657191443923008,4.19386905727339,0.392454754148788,17.83644,16.66877,16.81771,16.9206,17.0145,0.01578402,0.01646262,0.02011852,0.01620902,0.01809503,0.1028832,0.08016591,0.0554584,0.04121154,0.03065381,6,1
