#Table1
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,type,mode
1237679254665560823,20.8354053404108,-4.44975572830904,25.43545,23.6064,22.38552,20.94297,19.92572,0.8220571,0.2559141,0.1575425,0.05845205,0.09419593,0.1385485,0.1079561,0.07468352,0.05549786,0.04128021,6,1
1237679254665560523,20.8944560214894,-4.49712890575756,25.37785,22.80867,21.28201,20.12537,19.38867,0.8503848,0.1343566,0.06263144,0.03212243,0.06114776,0.1369703,0.1067263,0.07383278,0.05486567,0.04080998,6,1
1237679254665560519,20.8941817940326,-4.59166709362343,23.43437,23.23156,22.44874,21.97448,22.753,0.6632326,0.1838897,0.1677457,0.1332263,0.6306542,0.1311517,0.1021925,0.07069629,0.05253493,0.03907633,6,1
1237679254665495290,20.7320619862109,-4.55348881714034,23.37829,24.39338,22.58817,21.74245,20.36099,0.6169338,0.4266993,0.1756814,0.1154811,0.1403806,0.1307693,0.1018945,0.07049015,0.05238174,0.03896239,6,1
1237679254665495257,20.7019220021465,-4.52801282433544,24.81168,23.86529,22.38707,20.57225,19.5022,1.037827,0.3053479,0.1464772,0.04500372,0.06826913,0.1331194,0.1037257,0.07175698,0.05332313,0.03966261,6,1
1237679254665495068,20.7666364846095,-4.56998000590813,23.09842,22.83196,22.28126,22.15749,21.49431,0.4973975,0.1337616,0.1372589,0.1629513,0.3597974,0.1303783,0.1015899,0.07027943,0.05222515,0.03884591,6,1
1237679254665495045,20.7507001308829,-4.48623094285283,23.75858,24.24831,22.68269,23.05951,22.54715,0.8234115,0.3923318,0.1962773,0.3456746,0.6291505,0.1333887,0.1039356,0.07190217,0.05343102,0.03974286,6,1
1237679254665494939,20.7202612812087,-4.49401297601668,24.65227,22.63113,22.35738,21.64181,21.96244,1.056714,0.1137511,0.1447534,0.1065801,0.4916204,0.1342245,0.1045868,0.07235266,0.05376578,0.03999187,6,1
1237679254665494834,20.680684658644,-4.45032822784484,23.01695,22.18413,21.95294,22.28512,21.52446,0.4747739,0.08158625,0.1140027,0.2780091,0.4768825,0.1373356,0.1070109,0.07402967,0.05501198,0.0409188,6,1
1237679254665494819,20.6801591913173,-4.60052645941526,24.49998,22.63706,21.2065,19.52901,18.59792,1.112043,0.1177874,0.05500746,0.02412666,0.03629778,0.1332531,0.1038299,0.07182904,0.05337667,0.03970243,6,1
1237679254665429385,20.5824224907142,-4.58774058123965,23.5975,22.99386,21.67675,20.48874,19.9421,0.6999794,0.1625587,0.07977084,0.06030361,0.0994307,0.1442879,0.1124282,0.0777773,0.05779687,0.04299025,6,1
1237679254665429341,20.5619010729065,-4.42004876543089,23.82587,22.87358,21.55184,20.45573,19.7747,0.7776205,0.1450083,0.07471271,0.04324817,0.08485584,0.1440064,0.1122088,0.07762552,0.05768408,0.04290636,6,1
1237679254665429332,20.5612243679477,-4.53901286834536,25.72066,22.41081,21.00856,20.19987,19.70872,0.6584308,0.09868216,0.04978329,0.0359535,0.08141026,0.1468318,0.1144104,0.07914855,0.05881586,0.04374819,6,1
1237679254665429293,20.5445382734306,-4.54284786850615,23.3311,22.42348,20.88501,19.35561,18.55012,0.5885319,0.1001984,0.0460411,0.02330944,0.03470784,0.1471293,0.1146421,0.0793089,0.05893501,0.04383682,6,1
1237679254665429189,20.5992721300279,-4.45988615664897,24.36905,21.99994,21.53154,21.24525,21.95858,0.9995856,0.07207229,0.07878799,0.08562633,0.5282629,0.1413896,0.1101698,0.07621499,0.05663591,0.04212671,6,1
1237679254665429188,20.6008752391124,-4.46102830956381,25.76514,21.32052,19.99512,18.84328,18.23886,0.6313252,0.04400122,0.03150798,0.02004944,0.02886811,0.1413499,0.1101388,0.07619355,0.05661997,0.04211486,6,1
1237679254665429179,20.5450642883419,-4.60634413847151,23.19547,20.85856,19.64357,19.09422,18.78032,0.5184495,0.03423794,0.028643,0.02133437,0.04068102,0.1439028,0.1121281,0.0775697,0.0576426,0.04287551,6,1
1237679254665429169,20.5618375904787,-4.59636611938837,24.64562,21.27218,19.14745,17.67313,16.89001,1.022957,0.173154,0.02690715,0.01774748,0.0191782,0.1444054,0.1125197,0.07784059,0.0578439,0.04302524,6,1
1237679254665429113,20.5837432875251,-4.47656390915225,21.06886,19.92682,19.42044,19.20349,19.09637,0.09350123,0.02406914,0.02778721,0.02218527,0.04985633,0.1433063,0.1116633,0.07724815,0.05740365,0.04269777,6,1
1237679254665429101,20.5446415013042,-4.46602952356288,23.66163,22.02451,21.64975,21.51511,21.86323,0.7362818,0.06976069,0.08291963,0.1083403,0.6296632,0.1458956,0.1136809,0.07864391,0.05844085,0.04346926,6,1
1237679254665429099,20.545495236161,-4.47065710194274,21.27886,18.69075,17.22442,16.29724,15.7961,0.1108323,0.02064796,0.02485491,0.01691524,0.01720474,0.1459068,0.1136896,0.07864994,0.05844533,0.04347259,6,1
1237679254665364217,20.4714597432605,-4.52825691796522,23.70609,23.45809,22.58573,22.21904,21.60732,0.7773466,0.23559,0.1679183,0.1780414,0.3931738,0.1447209,0.1127655,0.07801066,0.05797028,0.04311924,6,1
1237679254665364174,20.4185718149735,-4.42028961996343,25.46853,25.25756,22.76644,23.92147,22.39801,0.8238445,0.5386515,0.1996727,0.5763355,0.603063,0.1438991,0.1121252,0.07756767,0.0576411,0.04287439,6,1
1237679254665364171,20.4193283846921,-4.52549060714332,23.03357,23.50295,22.7765,22.72892,21.85873,0.490899,0.2451995,0.1977408,0.2679284,0.4582067,0.1408502,0.1097495,0.07592423,0.05641984,0.04196599,6,1
1237679254665364070,20.5049134709075,-4.532812002611,22.80264,22.78117,21.8656,21.85887,22.13254,0.3878322,0.1343108,0.09319057,0.1321901,0.5532548,0.1470333,0.1145673,0.07925716,0.05889656,0.04380823,6,1
1237679254665363571,20.404595670678,-4.49827677512743,21.15835,18.88306,17.65191,17.08126,16.73968,0.106313,0.01889589,0.02762578,0.01326551,0.01478328,0.1402452,0.1092781,0.07559808,0.05617747,0.04178572,6,1
1237679254665363569,20.4059656708037,-4.58927569530623,20.06581,18.1401,17.42674,17.13571,17.02947,0.05614208,0.01807456,0.02754817,0.01328713,0.01575558,0.1375946,0.1072128,0.07416929,0.05511573,0.04099598,6,1
1237679254665298688,20.3605338983818,-4.42955358834273,22.94632,24.13799,22.69668,21.85419,21.22539,0.4644593,0.3869599,0.1952349,0.1261885,0.2787284,0.1397853,0.1089198,0.0753502,0.05599327,0.0416487,6,1
1237679254665298670,20.3423236964989,-4.45603040504168,25.5409,23.76515,22.62609,23.0214,22.0696,0.8135837,0.304193,0.1837092,0.3307972,0.5053055,0.1386341,0.1080227,0.07472962,0.05553212,0.04130569,6,1
1237679254665298635,20.3050824849708,-4.55599655052829,23.18478,23.44318,22.65354,22.56796,21.56264,0.5727422,0.2441091,0.1850485,0.2274534,0.3644859,0.1413807,0.1101628,0.07621015,0.05663231,0.04212403,6,1
1237679254665298633,20.3049996025902,-4.58119632261798,24.4846,24.14287,22.08246,21.53687,20.97391,1.14975,0.4121334,0.1128049,0.09520053,0.228015,0.1421777,0.1107839,0.07663979,0.05695158,0.04236151,6,1
1237679254665232481,20.1316291791281,-4.5539836307346,19.57544,17.88423,17.25561,16.99956,16.88779,0.03627172,0.02717673,0.01587949,0.02074816,0.01596543,0.1575224,0.1227404,0.08491122,0.06309814,0.04693342,6,1
1237679254665101374,19.9059159052816,-4.43912575284493,24.54714,25.44304,22.87767,22.09731,22.69292,1.039894,0.542294,0.2339546,0.1706955,0.487991,0.1644044,0.1281028,0.0886209,0.06585483,0.04898389,6,1
1237679254128689453,20.8372751349575,-4.89007034513683,24.86646,21.36939,19.9873,19.38963,18.95153,0.9778497,0.0429519,0.02372712,0.02148132,0.04558457,0.1405494,0.1095151,0.07576205,0.05629932,0.04187635,6,1
1237679254128689372,20.8941863917347,-4.84204434406684,21.55697,21.07181,20.98445,21.02506,20.45365,0.1354625,0.03613442,0.04785609,0.06070052,0.1356554,0.1469122,0.114473,0.0791919,0.05884807,0.04377215,6,1
1237679254128689331,20.8814358116899,-4.83727108157905,26.14593,21.26667,19.88472,18.30137,17.5254,0.4594291,0.04014516,0.02257215,0.01654213,0.02719212,0.1459113,0.1136931,0.07865237,0.05844714,0.04347394,6,1
1237679254128689305,20.8505879766266,-5.01348903620038,22.54711,21.14381,19.61916,18.57817,18.02208,0.2979012,0.037393,0.01992664,0.01704103,0.03074599,0.1385536,0.10796,0.07468622,0.05549987,0.04128171,6,1
1237679254128624344,20.7684621876468,-4.87340174955283,24.21172,23.51485,22.20798,21.08116,20.02797,0.9267014,0.2398458,0.1263763,0.06459304,0.09952119,0.1345671,0.1048537,0.07253733,0.05390301,0.04009394,6,1
1237679254128624006,20.750046160929,-4.85255452173161,22.90438,21.95042,21.52987,21.48009,21.0409,0.3725388,0.06743873,0.07038406,0.09054599,0.2328537,0.1339148,0.1043455,0.07218572,0.05364173,0.03989959,6,1
