#Table1
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,type,mode
1237649964070404266,60.425418755357,-4.45137752741242,20.80822,18.10731,16.67957,15.98768,15.57726,0.07346752,0.02224645,0.01340585,0.02009862,0.01639646,0.4145386,0.3230057,0.2234538,0.1660501,0.1235108,6,1
1237649964070404222,60.3588495867576,-4.64530157187286,19.72215,17.43393,16.51628,16.15183,15.99438,0.03994662,0.02197292,0.01334331,0.02011837,0.01662915,0.4715602,0.3674365,0.2541909,0.1888911,0.1405002,6,1
1237649964070404219,60.3497876243661,-4.61396831132714,21.87312,19.59046,18.09895,16.9776,16.37322,0.1731271,0.0246119,0.01436072,0.02032464,0.0171572,0.4696414,0.3659413,0.2531565,0.1881224,0.1399285,6,1
1237649964070404217,60.3545313108614,-4.65605066338054,22.53364,19.90032,18.4257,17.53948,17.04139,0.2993901,0.02591652,0.01493258,0.02065309,0.01968748,0.4720973,0.367855,0.2544804,0.1891062,0.1406603,6,1
1237649964070404168,60.4274315332229,-4.48889556280644,22.27086,20.35626,19.66791,19.37078,19.11544,0.2815091,0.03134765,0.02748344,0.03120185,0.08163574,0.4238548,0.3302648,0.2284757,0.1697819,0.1262866,6,1
1237649964070404167,60.4206943587926,-4.48754711333189,24.52205,21.16747,19.75974,18.97999,18.48154,1.061714,0.04341422,0.0245419,0.02529266,0.03550405,0.4223574,0.3290981,0.2276685,0.1691821,0.1258404,6,1
1237649964070339002,60.291328538255,-4.46535111831496,22.98319,21.73348,20.97913,20.47499,20.12515,0.4329732,0.06159891,0.05640165,0.05634374,0.1370763,0.4106194,0.3199519,0.2213412,0.1644802,0.1223431,6,1
1237649964070339000,60.2919565909282,-4.48915737898917,24.59641,22.66808,21.50413,21.33762,21.26676,1.021855,0.1333939,0.08705423,0.1159321,0.3604353,0.4104823,0.3198451,0.2212673,0.1644253,0.1223022,6,1
1237649964070338986,60.2863261411509,-4.5099577565917,25.79802,23.16681,22.02578,21.0637,20.33919,0.6181054,0.2021011,0.1358857,0.09009094,0.1613322,0.4173368,0.325186,0.2249621,0.167171,0.1243445,6,1
1237649964070338980,60.2910682978465,-4.56741753617012,24.60081,22.40851,21.69085,21.44314,20.95066,1.027513,0.1041048,0.09896787,0.1228125,0.269775,0.439496,0.3424523,0.2369069,0.1760472,0.1309468,6,1
1237649964070338971,60.291486927697,-4.65243213732303,23.46248,22.1317,20.84715,19.74438,19.16819,0.5015826,0.08142125,0.04757267,0.03063829,0.05743575,0.4694682,0.3658064,0.2530632,0.1880531,0.1398769,6,1
1237649964070338970,60.2861662477733,-4.62009441577782,23.24584,21.68321,20.57104,20.08148,19.92372,0.5455838,0.05669699,0.03844699,0.03885274,0.1089745,0.4598984,0.3583497,0.2479047,0.1842197,0.1370256,6,1
1237649964070338968,60.2884290413238,-4.6447308960265,23.72592,22.11474,20.55017,19.38227,18.71692,0.7515831,0.0804509,0.03766908,0.02478774,0.04115231,0.4685563,0.3650959,0.2525716,0.1876878,0.1396052,6,1
1237649964070338891,60.220746642134,-4.59848610622121,26.25844,23.11466,21.91538,20.15448,19.48479,0.4307725,0.187398,0.1202785,0.04169993,0.07702654,0.4534577,0.3533312,0.2444329,0.1816398,0.1351067,6,1
1237649964070338876,60.2202529431043,-4.66227726761935,23.06649,21.73085,21.55662,21.6353,22.39721,0.4615478,0.05844922,0.08633403,0.141029,0.6984051,0.4548236,0.3543955,0.2451691,0.182187,0.1355136,6,1
1237649964070338785,60.2849519195417,-4.48156072000288,22.94886,21.64658,20.25425,18.85534,18.03058,0.422778,0.05730723,0.03189312,0.02028587,0.02822394,0.4122248,0.3212028,0.2222066,0.1651233,0.1228214,6,1
1237649964070338780,60.2272983895847,-4.63539255806349,23.68921,21.89534,20.39033,19.02679,18.20749,0.7443284,0.06726796,0.03443144,0.02133442,0.03068327,0.4559025,0.3552361,0.2457507,0.1826191,0.1358351,6,1
1237649964070338716,60.289578414334,-4.63257528489436,23.3653,19.92616,18.46092,17.51852,16.94761,0.4587793,0.01985854,0.01411294,0.01555185,0.01942998,0.4651761,0.3624621,0.2507496,0.1863338,0.1385981,6,1
1237649964070338712,60.2840141097236,-4.62374540713928,21.06186,19.67102,19.0586,18.84437,18.70688,0.08929928,0.01830704,0.016366,0.01968207,0.04119823,0.4606767,0.3589562,0.2483242,0.1845315,0.1372575,6,1
1237649964070338679,60.2215775308784,-4.50491993934049,19.59706,18.47752,18.1027,17.90969,17.84001,0.03475483,0.01500957,0.01349511,0.0166422,0.02497702,0.4354411,0.3392928,0.2347212,0.174423,0.1297387,6,1
1237649964070338677,60.2259961848182,-4.5898404852671,20.16368,18.93306,18.47465,18.2978,18.20905,0.04785829,0.0157265,0.01419745,0.01717482,0.02971983,0.4505338,0.3510529,0.2428568,0.1804686,0.1342355,6,1
1237649964070338665,60.2253921456994,-4.61828442166021,22.62986,19.94096,18.43592,17.56163,17.09739,0.3261665,0.01970904,0.01402483,0.01562338,0.02008581,0.4563003,0.3555461,0.2459651,0.1827785,0.1359536,6,1
1237649964070338657,60.2224922243464,-4.66038701323691,22.24503,20.09444,18.59648,17.5146,16.93109,0.2325813,0.0210893,0.0144771,0.01554501,0.0193788,0.4551086,0.3546176,0.2453228,0.1823011,0.1355986,6,1
1237649964070338617,60.290636088835,-4.48253252720978,24.18449,23.83046,21.22151,20.69535,22.92533,1.090878,0.3673762,0.09653838,0.0762747,0.9411756,0.4107558,0.3200582,0.2214148,0.1645349,0.1223837,6,1
1237649964070338599,60.2902025892438,-4.55553283138803,18.89744,17.61575,17.08164,16.89588,16.7634,0.02709918,0.01424113,0.01250711,0.01510239,0.01897057,0.4330449,0.3374257,0.2334295,0.1734632,0.1290247,6,1
1237649964070338596,60.2821053592979,-4.53269142365047,18.12754,16.50128,15.86719,15.6514,15.50766,0.02293992,0.01388924,0.01219984,0.01477341,0.01729876,0.4241879,0.3305244,0.2286552,0.1699153,0.1263858,6,1
1237649964070273637,60.1595429173864,-4.5111048102465,23.89633,23.70492,22.31989,21.072,20.19453,0.794416,0.3084929,0.1792528,0.09337954,0.1480753,0.4668279,0.3637492,0.25164,0.1869955,0.1390903,6,1
1237649964070273632,60.1638689306449,-4.58600434826625,24.5229,23.65587,22.27981,22.03626,22.10799,1.012416,0.2921074,0.1690187,0.2115481,0.6567868,0.4655816,0.3627781,0.2509682,0.1864963,0.1387189,6,1
1237649964070273628,60.1632792662308,-4.67327532764179,23.59701,23.781,21.88791,21.67274,20.60648,0.6903042,0.3196963,0.1158828,0.1429807,0.245991,0.4364569,0.3400842,0.2352687,0.1748299,0.1300413,6,1
1237649964070273578,60.057482461266,-4.51915777034989,22.75685,23.42534,22.0962,21.54481,22.03465,0.3439007,0.2470782,0.1486987,0.1423434,0.6410357,0.4474317,0.3486357,0.2411846,0.179226,0.1333112,6,1
1237649964070273567,60.0574136929246,-4.60842954891196,23.63894,23.42605,22.38886,21.08835,20.48757,0.7011865,0.2617474,0.1870525,0.09257084,0.1868253,0.4375485,0.3409349,0.2358572,0.1752671,0.1303666,6,1
1237649964070273519,60.1648957998293,-4.47683677127172,25.13203,22.75487,21.28476,20.73319,20.2561,0.8656816,0.1418237,0.07292331,0.07051472,0.1573053,0.4532667,0.3531823,0.2443299,0.1815633,0.1350497,6,1
1237649964070273492,60.1638835235415,-4.57207811700608,24.98443,23.13203,21.75522,20.84201,20.21025,0.9561487,0.1902563,0.106698,0.07463699,0.148514,0.4703357,0.3664824,0.2535308,0.1884006,0.1401354,6,1
1237649964070273478,60.1621664760723,-4.60439412304436,24.19322,21.35223,20.03438,19.41095,18.98767,0.9509338,0.043362,0.02542098,0.02550933,0.05402566,0.4596798,0.3581794,0.2477868,0.1841322,0.1369605,6,1
