#Table1
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,type,mode
1237669770838279081,32.7250531921547,-5.13570353376787,25.06972,24.22619,24.35098,22.50344,21.8836,0.7581834,0.3763332,0.4933378,0.1821351,0.3806518,0.08353085,0.06508667,0.04502666,0.03345963,0.02488782,6,1
1237669770838279097,32.7935287530746,-5.11099610452961,25.13652,24.63309,24.69725,22.48093,22.1218,0.7383851,0.4739148,0.5299931,0.4032513,0.4422259,0.08295401,0.06463721,0.04471572,0.03322857,0.02471595,6,1
1237669770838279100,32.7551017686913,-5.10763247125585,24.05749,24.97821,25.44093,22.43493,21.97779,0.7271096,0.506929,0.4495224,1.025405,0.4057005,0.0826056,0.06436572,0.04452791,0.03308901,0.02461214,6,1
1237669770838343696,32.6169392278554,-5.09111795351841,24.58621,24.40233,23.76962,22.8692,22.19297,0.8818831,0.4467885,0.3869752,0.2587185,1.439231,0.08465512,0.0659627,0.04563269,0.03390998,0.0252228,6,1
1237669770838343707,32.6100302951074,-5.07205597472823,16.21355,14.99503,14.55154,14.42573,14.38023,0.01295602,0.02611864,0.01217747,0.03049149,0.03104923,0.08416456,0.06558046,0.04536825,0.03371347,0.02507663,6,1
1237669770838343719,32.8065703726166,-5.03923305519837,17.36804,15.62472,15.0661,14.86944,14.81865,0.01481601,0.02614089,0.01220023,0.03049983,0.03110251,0.08387414,0.06535416,0.04521171,0.03359714,0.0249901,6,1
1237669770838343737,32.7086522238524,-5.03166377927208,23.98505,23.20798,23.81026,22.54582,22.99437,0.9242432,0.1986854,0.6127219,0.2102612,0.6821424,0.08551162,0.06663008,0.04609438,0.03425306,0.02547799,6,1
1237669770838343738,32.7083845308754,-5.03592828874643,23.97958,23.28821,24.2487,22.98706,22.86497,0.5993312,0.1928621,0.6321918,0.2601603,0.5447445,0.08540192,0.0665446,0.04603525,0.03420912,0.0254453,6,1
1237669770838409322,32.7934267550345,-4.8998074716264,23.75968,25.13637,24.92999,22.62577,22.95312,0.6419225,0.5194528,0.5321743,0.5800916,0.5538334,0.09183121,0.07155427,0.04950091,0.03678448,0.0273609,6,1
1237669770838606470,32.6749345806688,-4.4004720310099,23.31996,23.56944,22.92341,22.82371,21.83879,0.513128,0.2483704,0.188042,0.244278,0.3766048,0.08750579,0.06818392,0.04716932,0.03505186,0.02607214,6,1
1237669770838606461,32.6146520856664,-4.40297791411186,24.14697,22.84122,22.0189,22.26524,21.82057,0.8410496,0.1436742,0.0909237,0.1558328,0.3704163,0.09087765,0.07081126,0.0489869,0.03640252,0.02707678,6,1
